title,journal,year
Decision Making for Self-Driving Vehicles in Unexpected Environments,ELECTRONICS,2022
Negotiating the Insider/Outsider Researcher Position within Qualitative,QUALITATIVE REPORT,2022
Sex Differences in the Activity of Basolateral Amygdalar Neurons That,JOURNAL OF NEUROSCIENCE,2022
Equity-based CS Case Study: An Approach to Exploring White Teachers',ACM TRANSACTIONS ON COMPUTING EDUCATION,2022
Humility imparts the wonders of nature: a virtue-ethical elaboration of,ENVIRONMENTAL EDUCATION RESEARCH,2022
Spatio-Temporally Efficient Coding Assigns Functions to Hierarchical,FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,2022
Dopamine modulates visual threat processing in the superior colliculus,ISCIENCE,2022
Improve the Deep Learning Models in Forestry Based on Explanations and,FRONTIERS IN PLANT SCIENCE,2022
Inhibitory control hinders habit change,SCIENTIFIC REPORTS,2022
An adaptive estimation method with exploration and exploitation modes,PATTERN RECOGNITION,2022
Heritage Education in Pre-colonial Settlements: Are There Differences in,REVISTA ELECTRONICA EDUCARE,2022
Mission and Decoloniality. Notes for a Latin American Missionary,PERSPECTIVA TEOLOGICA,2022
Memory reconsolidation and the crisis of mechanism in psychotherapy,NEW IDEAS IN PSYCHOLOGY,2022
How elementary prospective teachers use three fraction models: their,JOURNAL OF MATHEMATICS TEACHER EDUCATION,2022
"Unlearning colonial constructs: conception, pregnancy, birth and infancy",ALTERNATIVE-AN INTERNATIONAL JOURNAL OF INDIGENOUS PEOPLES,2022
"Taking back taste in food bank Britain: on privilege, failure and",CULTURAL GEOGRAPHIES,2022
Engaging decolonization: lessons toward a theory of change for,TEACHING IN HIGHER EDUCATION,2022
Predicting chemical ecotoxicity by learning latent space chemical,ENVIRONMENT INTERNATIONAL,2022
Distinct neurocognitive mechanisms underlying learning and,CEREBRAL CORTEX,2022
"""It just fills you up"": The culture of monthly community singing events",RESEARCH STUDIES IN MUSIC EDUCATION,2022
A Randomized Clinical Trial of Acceptance and Commitment Therapy and the,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,2022
Forgetting to learn and learning to forget: the call for organizational,EUROPEAN JOURNAL OF TRAINING AND DEVELOPMENT,2022
Breaches of the didactic contract as a driving force behind learning and,TEACHING MATHEMATICS AND ITS APPLICATIONS,2022
Rejecting Novel Motions in High-Density Myoelectric Pattern Recognition,FRONTIERS IN NEUROROBOTICS,2022
Motivating youth engagement in sustainable agriculture: institutional,DEVELOPMENT IN PRACTICE,2022
"Unlearning: Rethinking Poetics, Pandemics and the Politics of Knowledge",FOLKLORE,2022
Supervised perceptron learning vs unsupervised Hebbian unlearning:,JOURNAL OF CHEMICAL PHYSICS,2022
Normalising interdisciplinary role-based goal setting in inpatient brain,DISABILITY AND REHABILITATION,2022
Vocal recognition of distance calls in a group-living basal bird: the,ANIMAL BEHAVIOUR,2022
Unlearning History: Mark Teh and the Spectres of Baling,THEATRE RESEARCH INTERNATIONAL,2022
A human resources development professional's framework for competencies,NEW HORIZONS IN ADULT EDUCATION AND HUMAN RESOURCE DEVELOPMENT,2022
RE-AIM Evaluation of a Mentored Honors Projects in Urban Mental Health,JOURNAL OF THE AMERICAN PSYCHIATRIC NURSES ASSOCIATION,2022
"'Becoming the song': Alice Parker, community singing and unlearning",INTERNATIONAL JOURNAL OF COMMUNITY MUSIC,2022
Attitude Control of a Moving Mass-Actuated UAV Based on Deep,JOURNAL OF AEROSPACE ENGINEERING,2022
"Can ""organizational unlearning"" be the normalizer for purposeful",LEARNING ORGANIZATION,2022
Building Organizational Resilience Through Organizational Learning: A,FRONTIERS IN COMMUNICATION,2022
Non-parametric multiple inputs prediction model for magnetic field,SCIENTIFIC REPORTS,2022
Tentacular Classrooms: Feminist Transformative Learning for Thinking and,JOURNAL OF TRANSFORMATIVE EDUCATION,2022
Promoting de-implementation of inappropriate antimicrobial use in,IMPLEMENTATION SCIENCE,2022
Undoing and Unsaying Islamophobia: Toward a Restorative and,HORIZONS,2022
Learning and unlearning: Settler engagements in long-term,ETHNICITIES,2022
The negotiations of Pakistani mothers' agency with structure: towards a,GENDER AND EDUCATION,2022
Mindful unlearning in unprecedented times: Implications for management,MANAGEMENT LEARNING,2022
Knowledge recontextualization by returnee entrepreneurs: The dynamic,JOURNAL OF INTERNATIONAL MANAGEMENT,2022
Indigenous Trans-Systemic Research Approach,QUALITATIVE INQUIRY,2022
Separated by a Common Language: How the Nature of Code Differences,MANAGEMENT SCIENCE,2022
Toward a general theory of expatriates' cross-cultural adjustment,INTERNATIONAL STUDIES OF MANAGEMENT & ORGANIZATION,2022
'A CRUCIAL UNLEARNING': SAIKAT MAJUMDAR IN CONVERSATION,WASAFIRI,2022
The homeless student - and recovering a sense of belonging,JOURNAL OF UNIVERSITY TEACHING AND LEARNING PRACTICE,2022
Detecting Melanoma Fairly: Skin Tone Detection and Debiasing for Skin,DOMAIN ADAPTATION AND REPRESENTATION TRANSFER (DART 2022),2022
Can We Unlearn Racism?,CAN WE UNLEARN RACISM?: What South Africa Teaches Us about Whiteness,2022
Turning Leadership Upside-Down and Outside-In During the COVID-19,CANADIAN JOURNAL OF EDUCATIONAL ADMINISTRATION AND POLICY,2022
Recommendation Unlearning,PROCEEDINGS OF THE ACM WEB CONFERENCE 2022 (WWW'22),2022
Near-Optimal Task Selection for Meta-Learning with Mutual Information,"INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS, VOL",2022
"Should all Infantile Hemangiomas be Treated? - Time to Learn, Unlearn,",INDIAN JOURNAL OF PAEDIATRIC DERMATOLOGY,2022
Evidence that endpoint feedback facilitates intermanual transfer of,JOURNAL OF NEUROPHYSIOLOGY,2022
Learn and unlearn. Roland Barthes' seminars (1962-1977),452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,2022
Unlearning Protected User Attributes in Recommendations with Adversarial,PROCEEDINGS OF THE 45TH INTERNATIONAL ACM SIGIR CONFERENCE ON RESEARCH,2022
FORGET-SVGD: PARTICLE-BASED BAYESIAN FEDERATED UNLEARNING,2022 IEEE DATA SCIENCE AND LEARNING WORKSHOP (DSLW),2022
An Independently Learnable Hierarchical Model for Bilateral,IEEE ACCESS,2022
Sensory-Motor Learning for Simultaneous Control of Motion and Force:,2022 IEEE/SICE INTERNATIONAL SYMPOSIUM ON SYSTEM INTEGRATION (SII 2022),2022
Efficient Two-stage Model Retraining for Machine Unlearning,2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION,2022
Beyond the Policy Gradient Theorem for Efficient Policy Updates in,"INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS, VOL",2022
The Different Immune Responses by Age Are due to the Ability of the,INTERNATIONAL JOURNAL OF BIOLOGICAL SCIENCES,2022
Discover and Mitigate Unknown Biases with Debiasing Alternate Networks,"COMPUTER VISION, ECCV 2022, PT XIII",2022
Backdoor Defense with Machine Unlearning,IEEE CONFERENCE ON COMPUTER COMMUNICATIONS (IEEE INFOCOM 2022),2022
The Right to be Forgotten in Federated Learning: An Efficient,IEEE CONFERENCE ON COMPUTER COMMUNICATIONS (IEEE INFOCOM 2022),2022
Unlearning for teachers crazy about deconditioning. Reflective sessions,ARTETERAPIA-PAPELES DE ARTETERAPIA Y EDUCACION ARTISTICA PARA LA,2022
FP2-MIA: A Membership Inference Attack Free of Posterior Probability in,"PROVABLE AND PRACTICAL SECURITY, PROVSEC 2022",2022
Hard to Forget: Poisoning Attacks on Certified Machine Unlearning,THIRTY-SIXTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE / THIRTY-FOURTH,2022
Deep Unlearning via Randomized Conditionally Independent Hessians,2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION,2022
Beneficial effect of multilingualism in resolving L3 structural,LINGUISTIC RESEARCH,2022
Modeling Fabric-Type Actuator Using Point Clouds by Deep Learning,IEEE ACCESS,2022
Markov Chain Monte Carlo-Based Machine Unlearning: Unlearning What Needs,ASIA CCS'22: PROCEEDINGS OF THE 2022 ACM ASIA CONFERENCE ON COMPUTER AND,2022
Gradual and Tolerant Programming for Novices,PROCEEDINGS OF THE 2022 IEEE GLOBAL ENGINEERING EDUCATION CONFERENCE,2022
Strategies for Working Remotely: Responding to Pandemic-Driven Change,"HCI IN BUSINESS, GOVERNMENT AND ORGANIZATIONS, HCIBGO 2022",2022
Tracking Untrained Objects Based On Optical Flow Approach,2022 IEEE INTERNATIONAL CONFERENCE ON BIG DATA AND SMART COMPUTING (IEEE,2022
Between People and Place: Folklore Pertaining to the Natural Environment,INTERNATIONAL JOURNAL OF INTANGIBLE HERITAGE,2022
Critical Inquiry With Children as an Unlearning Process: A South Korean,INTERNATIONAL JOURNAL OF QUALITATIVE METHODS,2022
Poison Forensics: Traceback of Data Poisoning Attacks in Neural Networks,PROCEEDINGS OF THE 31ST USENIX SECURITY SYMPOSIUM,2022
Customer Experience in Circular Economy: Experiential Dimensions among,SUSTAINABILITY,2022
Unrolling SGD: Understanding Factors Influencing Machine Unlearning,2022 IEEE 7TH EUROPEAN SYMPOSIUM ON SECURITY AND PRIVACY (EUROS&P 2022),2022
On the Necessity of Auditable Algorithmic Definitions for Machine,PROCEEDINGS OF THE 31ST USENIX SECURITY SYMPOSIUM,2022
Federated Unlearning via Class-Discriminative Pruning,PROCEEDINGS OF THE ACM WEB CONFERENCE 2022 (WWW'22),2022
Reinforcement Learning-Based Composite Controller for Cable-Driven,IEEE ACCESS,2022
Learning with Recoverable Forgetting,"COMPUTER VISION, ECCV 2022, PT XI",2022
The impact of learning new meaning on the previously learned meaning of,PSYCHOPHYSIOLOGY,2021
COVID-19 and Tuberculosis-A Global Tale of Hubris and Lessons Unlearned?,FRONTIERS IN MEDICINE,2021
"Testing the Efficacy of 'Unlearning', a Mindfulness and Compassion-Based",FRONTIERS IN PSYCHOLOGY,2021
Movement pedagogies in pandemic times: Extinction Rebellion Netherlands,GLOBALIZATIONS,2021
How we learn whiteness: Disciplining and resisting management knowledge,MANAGEMENT LEARNING,2021
Beyond El Arrebato: the seven stages of Conocimiento as instruments for,REFERENCE SERVICES REVIEW,2021
"Goal orientation, critical reflection, and unlearning: An",HUMAN RESOURCE DEVELOPMENT QUARTERLY,2021
Learning and Unlearning: Two Social Workers' Autoethnographic,JOURNAL OF PROGRESSIVE HUMAN SERVICES,2021
"Dopamine, behavior, and addiction",JOURNAL OF BIOMEDICAL SCIENCE,2021
New Horizons: Is Obesity a Disorder of Neurotransmission?,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,2021
Revisiting Distant Relations,GENEALOGY,2021
Compressed sensing for photoacoustic computed tomography based on an,BIOMEDICAL OPTICS EXPRESS,2021
Higher Consciousness Management: Transcendence for Spontaneous Right,JOURNAL OF MANAGEMENT SPIRITUALITY & RELIGION,2021
Health geographies 1: Unlearning privilege,PROGRESS IN HUMAN GEOGRAPHY,2021
"Reset the Heart: Unlearning Violence, Relearning Hope, Nashville",INTERNATIONAL JOURNAL OF PRACTICAL THEOLOGY,2021
Split-Second Unlearning: Developing a Theory of Psychophysiological,FRONTIERS IN PSYCHOLOGY,2021
"The Making of Everyman's Capitalism in Sweden: Micro-Infrastructures,",ENTERPRISE & SOCIETY,2021
"Becoming a Narrative Inquirer: The Journey of Learning, Unlearning and",INTERNATIONAL JOURNAL OF QUALITATIVE METHODS,2021
"The meshwork of teaching against the grain: embodiment, affect and art",CULTURE AND ORGANIZATION,2021
Coping and Unlearning in Depression Recovery: Preliminary Themes from a,INTERNATIONAL JOURNAL OF QUALITATIVE METHODS,2021
"Organizational unlearning, knowledge generation strategies and radical",EUROPEAN JOURNAL OF MARKETING,2021
History as heresy: Unlearning the lessons of economic orthodoxy,ECONOMIC HISTORY REVIEW,2021
The complementarities of big data and intellectual capital on,ANNALS OF OPERATIONS RESEARCH,2021
Endogenous growth model with Bayesian learning and technology selection,MATHEMATICAL SOCIAL SCIENCES,2021
Learning/unlearning in International Relations through the politics of,AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS,2021
Breaking Green Ceilings: podcasting for environmental and social change,JOURNAL OF ENVIRONMENTAL STUDIES AND SCIENCES,2021
A group-based chronic pain intervention using the Unlearn Your Pain,JOURNAL OF MILITARY VETERAN AND FAMILY HEALTH,2021
Motion blur treatment utilizing deep learning for time-resolved particle,EXPERIMENTS IN FLUIDS,2021
Make aspect-based sentiment classification go further: step into the,APPLIED INTELLIGENCE,2021
"Unlearning: Rethinking Poetics, Pandemics, and the Politics of Knowledge",JOURNAL OF LINGUISTIC ANTHROPOLOGY,2021
LEARNING FROM LAW ENFORCEMENT,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,2021
Twenty Years After the Anthrax Terrorist Attacks of 2001 Lessons Learned,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,2021
Phylogenetic signal in the vocalizations of vocal learning and vocal,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2021
The many functions of vocal learning,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2021
Genetic differentiation and gene flow of the Amazonian catfish,HYDROBIOLOGIA,2021
Let's talk about terrorism,JOURNAL OF PEACE EDUCATION,2021
Lessons unlearned: A conceptual review and meta-analysis of the,COGNITION & EMOTION,2021
"Taking stock of ""Organizational Learning"": Looking back and moving",MANAGEMENT LEARNING,2021
Speaking Personally-with Chris Dede,AMERICAN JOURNAL OF DISTANCE EDUCATION,2021
When change is all around: How dynamic network capability and generative,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,2021
Symbolic Deep Networks: A Psychologically Inspired Lightweight and,TOPICS IN COGNITIVE SCIENCE,2021
Antenna Impedance Matching Using Deep Learning,SENSORS,2021
Feeling Meter Kinesthetic Knowledge and the Case of Recent Progressive,JOURNAL OF MUSIC THEORY,2021
Compasses on Africa. Views to unlearn the sub-Saharan region,RELACIONES INTERNACIONALES-MADRID,2021
Understanding Hydropower Impacts on Amazonian Wildlife is Limited by a,TROPICAL CONSERVATION SCIENCE,2021
Competitive intensity and new product development outcomes: The roles of,JOURNAL OF BUSINESS RESEARCH,2021
"Organizational learning, unlearning and re-internationalization timing:",JOURNAL OF INTERNATIONAL MANAGEMENT,2021
Organizational unlearning and inclusive innovation: The moderating role,SUSTAINABLE DEVELOPMENT,2021
Epistemic Trust and the Emergence of Conduct Problems: Aggression in the,FRONTIERS IN PSYCHIATRY,2021
"Critical reflection, unlearning, and engagement (vol 50, pg 465, 2019)",MANAGEMENT LEARNING,2021
Journey to the West: The overseas learning experiences of Chinese,TEACHING AND TEACHER EDUCATION,2021
C-Reactive Protein and Cancer: Interpreting the Differential,FRONTIERS IN IMMUNOLOGY,2021
Making Urban Theory: Learning and Unlearning Through Southern Cities,SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY,2021
Learning butch: tracing lesbian and trans becoming in the classroom,JOURNAL OF LESBIAN STUDIES,2021
Ecopedagogical literacy of a pandemic: Teaching to critically read the,JOURNAL OF ENVIRONMENTAL EDUCATION,2021
On the shoulders of giants: uncovering key themes of organizational,REVIEW OF MANAGERIAL SCIENCE,2021
"Media Coverage of Fukushima, Ten Years Later",ASIA-PACIFIC JOURNAL-JAPAN FOCUS,2021
Unlearning Palermo's Architectural History,JOURNAL OF THE SOCIETY OF ARCHITECTURAL HISTORIANS,2021
An Integrated Transfer Learning Method for Power System Dynamic Security,IEEE TRANSACTIONS ON POWER SYSTEMS,2021
Detection and Segmentation of Unlearned Objects in Unknown Environment,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,2021
Unlearning in the workplace: Antecedents and outcomes,HUMAN RESOURCE DEVELOPMENT QUARTERLY,2021
Finding and removing Clever Hans: Using explanation methods to debug and,INFORMATION FUSION,2021
Comparison of domain adaptation techniques for white matter,MEDICAL IMAGE ANALYSIS,2021
Emergence of Content-Agnostic Information Processing by a Robot Using,NEURAL COMPUTATION,2021
Minimizing the effects of defensive routines on knowledge hiding though,JOURNAL OF BUSINESS RESEARCH,2021
Open Dialogue trainees' expectations of 'shared concern': An,JOURNAL OF FAMILY THERAPY,2021
Organizational forgetting in local governments: a study from rural India,JOURNAL OF ORGANIZATIONAL ETHNOGRAPHY,2021
"Counterintuitive, Yet Essential: Taking Stock of Organizational",KNOWLEDGE MANAGEMENT RESEARCH & PRACTICE,2021
"Learning, Unlearning, and Relearning Together: Unmasking Power in a",STUDENT SUCCESS,2021
EMBRACING ORGANISATIONAL UNLEARNING AS A FACILITATOR OF BUSINESS MODEL,INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,2021
Toward Long-Term FMG Model-Based Estimation of Applied Hand Force in,IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,2021
'Who Had to Die so I Could Go Camping?': Shifting non-Native Conceptions,ETHICS POLICY & ENVIRONMENT,2021
"Nineteen Eighty-Four, totalitarian lived skepticism, and unlearning how",POLICY FUTURES IN EDUCATION,2021
Preprints in times of COVID19: the time is ripe for agreeing on,BMC MEDICAL ETHICS,2021
Unlearning and consent in the UK Fire and Rescue Service,HUMAN RELATIONS,2021
"""Is This Not Just Nationalism?"" Disentangling the Threads of Folk",NATIONALITIES PAPERS-THE JOURNAL OF NATIONALISM AND ETHNICITY,2021
Organizational syntergy. A resultant of the shift to the gnoseological,ACTUALIDAD CONTABLE FACES,2021
A Human Reliability Assessment of Marine Engineering Students through,SIMULATION & GAMING,2021
Threshold concepts in religious studies: A qualitative and theoretical,TEACHING THEOLOGY AND RELIGION,2021
Deep learning-based estimation of Flory-Huggins parameter of A-B block,SCIENTIFIC REPORTS,2021
Constructing constructivism in management accounting education:,QUALITATIVE RESEARCH IN ACCOUNTING AND MANAGEMENT,2021
The functional role of sequentially neuromodulated synaptic plasticity,PLOS COMPUTATIONAL BIOLOGY,2021
